	AA	AB	BB	AS	BS	SS_inter	SS_intra	AA_attr	BB_attr	lambda	d_S	d_AB	SS_attr	AB_compScore
23	1.1439899512362892	0.4950120330464416	1.359780130321135	0.9942769046463847	0.41478365798285327	1.420804080470275	1.1478614121961987	0.08	0.12	0	0	0	0	0.6698579529097719
24	1.1692828948610763	0.462400090170901	1.4311885471427368	1.0036088955862192	0.3687371169197898	1.4033954935208481	1.1940068629576241	0.08	0.14	0	0	0	0	0.69806106112287
25	1.1964371703200969	0.43181602856646506	1.4744618057532781	1.0397568973589213	0.30440535836079735	1.5195164620843251	1.2039700465133492	0.08	0.16	0	0	0	0	0.7216527925247908
26	1.0467656509276717	0.6854892452540816	0.9602195378373664	0.743698785845721	0.8869268443016681	0.9642693200474848	0.920247777759875	0.1	0.02	0	0	0	0	0.49081095323097595
27	1.0876148936505328	0.6454701857755554	1.0128708099317174	0.7796209103325312	0.8203737557583701	1.0645930786717788	0.9590882496277309	0.1	0.04	0	0	0	0	0.5298757796677419
28	1.1021033780476652	0.5953959635931098	1.1182660046708626	0.8074817545686293	0.7442613753298772	1.144001764676026	1.0105507372434355	0.1	0.06	0	0	0	0	0.5770983087258907
29	1.1440319446775744	0.5535997832707658	1.199840813799288	0.86355671429479	0.6366136052046096	1.2070755673463542	1.091156794400177	0.1	0.08	0	0	0	0	0.6178740089548123
30	1.1636230155485452	0.5140058616590212	1.2894471860227206	0.9023297258967709	0.5390127515982127	1.3246145182917202	1.1644183013579783	0.1	0.1	0	0	0	0	0.6535270072588449
31	1.2132816137451898	0.47353668039747393	1.3812171712523629	0.933766994329666	0.4248324614486983	1.4279385228477066	1.217266329841539	0.1	0.12	0	0	0	0	0.6913095133751959
32	1.2239484923281896	0.4401546641322354	1.4410552629139288	0.9755552553807304	0.36527633040155183	1.492869843143311	1.2518076821318773	0.1	0.14	0	0	0	0	0.7165009930662922
33	1.2340093924150541	0.4183992913479678	1.4996793574769507	0.9850058839342728	0.30760793371431006	1.5635439770640454	1.255572622348005	0.1	0.16	0	0	0	0	0.7345256313441185
34	1.1096157226334515	0.6703180705664357	0.9447258613444466	0.6858125118036451	0.9279702615524761	0.9791143472294818	0.9317040193429093	0.12	0.0	0	0	0	0	0.5079619801699319
35	1.1543988360460316	0.6386856052500592	0.9594702952941904	0.7206978893414643	0.8962105873167989	1.0398311661019306	0.9471976443868501	0.12	0.02	0	0	0	0	0.5359324944496988
36	1.1744665597381883	0.5996299844212712	1.049020827566338	0.7277280870550842	0.8361430780204436	1.0837801628647097	0.9669244205225959	0.12	0.04	0	0	0	0	0.5752001029594374
37	1.2052162389564767	0.5625707459741417	1.121880775666849	0.7658872984242869	0.7599176389570478	1.1062796374352035	1.0597537494584526	0.12	0.06	0	0	0	0	0.6106329221337027
38	1.2153325239645039	0.5186860113566165	1.2343223582860112	0.8220300134704366	0.6342610383029011	1.2553109896979142	1.1500607754253087	0.12	0.08	0	0	0	0	0.6505212642700827
39	1.239507872825598	0.4823049332857359	1.3240259684369868	0.8503569574670307	0.5267250059072758	1.4135078989872718	1.20220038344372	0.12	0.1	0	0	0	0	0.6833023879556732
40	1.261222555671113	0.4495978495006448	1.3981066403323201	0.8892426262303812	0.4388831439701342	1.488003516485115	1.2360637625484816	0.12	0.12	0	0	0	0	0.7107697653112683
41	1.2650204143453607	0.4259193394891717	1.4692344096971004	0.8955777289242804	0.38221158688953905	1.541188795102381	1.2870997038600518	0.12	0.14	0	0	0	0	0.7304456542906557
42	1.2827193613189107	0.4067563579483912	1.5185538001752106	0.9271764020482043	0.3162714041162755	1.5723632430472623	1.318394340552029	0.12	0.16	0	0	0	0	0.7464135816187398
