	AA_attr	BB_attr	SS_attr	lambda	d_S	d_AB	AA	AB	BB	AS	BS	SS_inter	SS_intra	d_ratio	AB_compScore	lod_S	MSE	Euc_dist	rank	rank_color	index
32	0.12	0.08	0	55	55	550	1.136506811516359	0.6399199385830651	1.1795528372214807	0.715099050890733	0.6170787220775723	0.86779021624483	1.9045118885412102	10.0	0.5670335875607015	1.0	0.01053646995740655	0.2715792512358885	42.0	r	578
33	0.14	0.06	0	55	55	550	1.209647338327879	0.6563439243947174	1.1569168097320757	0.6891175126200512	0.7203392781690469	0.9300625645040136	1.8943412587068884	10.0	0.5657533020104375	1.0	0.014723603306517525	0.3210377285392212	109.0	r	586
34	0.14	0.08	0	55	55	550	1.2290509515903094	0.6155969541439089	1.1965635295224744	0.7015891006596424	0.6412336286972846	0.9492296827211282	1.9371339994355468	10.0	0.595163330633768	1.0	0.016113925924841146	0.33585336305281804	149.0	r	587
35	0.16	0.06	0	55	55	550	1.3183931277580845	0.6070122427825075	1.153879183385693	0.6696519608660783	0.7255240018011249	0.9504870350420342	1.9295222100464935	10.0	0.6057446253165996	1.0	0.019300847552455386	0.367567589522237	217.0	r	595
36	0.16	0.08	0	55	55	550	1.3195036086666867	0.5812347409636818	1.1869030162726257	0.6774942564286432	0.6679620450929894	0.9714177046665542	1.9650154031960463	10.0	0.6235089039923539	1.0	0.02130127818271766	0.3861462770492856	287.0	r	596
37	0.1	0.04	0	55	55	0	1.1071375318583958	0.7268430992097009	1.0926512867719729	0.671156275472014	0.7093956042715898	0.8046028739261095	2.1250324074315086	0.0	0.5032903900357035	1.0	0.025663911416088345	0.4238482982301786	426.0	r	657
38	0.12	0.06	0	55	110	550	1.1269138734629727	0.6670492526590008	1.0866220800534852	0.739279765755192	0.748131602340625	0.966419893784161	1.6059673225944051	5.0	0.5368654596788411	0.5	0.025213866175268766	0.4201155355695399	408.0	r	757
39	0.12	0.06	0	55	110	1100	1.1799863745921593	0.6411185650008785	1.1064977355208216	0.7362466943521168	0.7208650716506979	0.9861064756671997	1.7470018519068604	10.0	0.5620180494773291	0.5	0.019903937172715387	0.3732660716017566	234.0	r	847
40	0.1	0.04	0	55	110	0	1.1149574132812452	0.6976022145517665	1.0613022647510255	0.7254399499709075	0.7639616873755233	0.9372229954668982	1.845227261630034	0.0	0.514519318863638	0.5	0.020638815399553343	0.3800943406535717	269.0	r	927
41	0.1	0.06	0	55	110	0	1.1336681532046473	0.642173947316653	1.13562742462797	0.751851254687582	0.6650300553404429	0.9832310833614817	1.9206296783328076	0.0	0.5588661040278422	0.5	0.021408568133152287	0.38711752341125816	291.0	r	928
42	0.12	0.04	0	55	110	0	1.177309144444879	0.6465421801881771	1.0682420721719699	0.6852654583412757	0.7594250724759326	0.9176299565929029	1.8904762153375845	0.0	0.5528898334317767	0.5	0.017635077146119428	0.3513481749245839	179.0	r	936
43	0.12	0.06	0	55	110	0	1.2204237164413492	0.6041741748913811	1.1698472608057748	0.7006131804124093	0.687135678685159	0.9643850716924771	1.9677251317774445	0.0	0.5964700342165856	0.5	0.0202445758814877	0.3764465847506308	251.0	r	937
44	0.12	0.08	0	110	37	370	1.1147129409004948	0.7306071946507785	1.127933709718042	0.7322905083502274	0.6807081437730803	0.8443060671128908	1.8922545316863786	10.0	0.508547044637152	2.972972972972973	0.011906398265507318	0.28869497373274655	61.0	r	1118
45	0.14	0.08	0	110	37	370	1.170064981038448	0.6828922241893327	1.0930790366646128	0.6949407971166148	0.6567849115848763	0.8133284348564157	1.9159168111722007	10.0	0.5363993052911832	2.972972972972973	0.008715717010919662	0.247002062899154	23.0	r	1127
46	0.16	0.06	0	110	37	370	1.2735261395147293	0.7053298043207769	1.1247403909757425	0.6964811977867144	0.7601152365380608	0.887460586364921	1.9227306333897423	10.0	0.5454758104915258	2.972972972972973	0.01580518588697036	0.33262035597478473	138.0	r	1135
47	0.16	0.08	0	110	37	370	1.2327967246129237	0.6676919872908813	1.1543040054577625	0.6672133528998405	0.6799075798882903	0.8354770487564165	1.9459356776293242	10.0	0.5628561090275424	2.972972972972973	0.009563072030577638	0.25873056296858987	34.0	r	1136
